PanjivaRecordID,score
131497869,0.09223199
130382988,0.113913834
131151521,0.115021706
131539715,0.116745956
131155352,0.12493967
130640128,0.12657866
128317975,0.12968919
129799042,0.12973766
131729341,0.1332204
128103629,0.13390864
130770599,0.14946541
130359614,0.15044543
131047406,0.15327649
130236076,0.15528403
130976957,0.16300282
128582234,0.16300282
128692492,0.16472442
129587118,0.16472442
130511545,0.16472442
130552691,0.16476609
130941584,0.1657521
129082497,0.16996104
131650091,0.17569052
130399034,0.17786127
128390774,0.1788432
130839564,0.18036057
131800998,0.18036464
128405639,0.18361516
131497872,0.18503514
129869647,0.18994084
130797680,0.18994084
131784963,0.19363125
131497868,0.19463748
129202019,0.19660303
131773219,0.20309164
128195728,0.20553604
128232966,0.20892702
128232967,0.20892702
131404411,0.20925316
128462399,0.20948078
130475960,0.21143198
130185876,0.21176887
129425234,0.21295708
131614026,0.21306965
129238619,0.21306965
129698179,0.2131348
129299778,0.2131348
128169430,0.21360783
129623502,0.21408792
131073770,0.21454653
129153035,0.21477282
128989875,0.21492626
129708759,0.216771
131125226,0.21929339
130537792,0.21964274
129133906,0.21975274
129210624,0.22085254
128351148,0.22211099
129702184,0.22319712
129793163,0.22416852
131645330,0.22456966
128160867,0.22474144
127919618,0.22536254
129433014,0.22536254
131257172,0.22536254
129903779,0.22561093
130720556,0.22654904
128232968,0.22740056
128510735,0.22740056
128232965,0.22740056
130353139,0.22819772
130861503,0.22869356
130861462,0.22869356
129082501,0.22990094
128494781,0.23278232
128175307,0.2334441
129450160,0.23372057
130289272,0.23398088
130910060,0.23424739
129118039,0.23437017
127929126,0.23437017
131606847,0.23539175
129857674,0.23659264
130720554,0.23681206
130304423,0.237393
129589977,0.23924786
128969853,0.23965156
131647272,0.2401325
129562222,0.24031413
128354901,0.24089079
131604952,0.24168015
131646349,0.24196282
131644559,0.24196282
130066296,0.242846
130723278,0.242846
130988395,0.24325718
130227919,0.2434979
131531619,0.24453911
131422758,0.24475966
129034800,0.24488267
128406214,0.24516915
128854229,0.24593997
130194184,0.24595638
129171070,0.24650805
128449323,0.24650805
129535853,0.24650805
129718227,0.24661411
129424148,0.24732561
128818306,0.24740675
128582413,0.24740675
131593878,0.24754177
130139890,0.24843258
130604888,0.248513
131232225,0.24863082
129055806,0.24889606
130769247,0.24976599
128092562,0.25018272
131737938,0.25018272
131553827,0.25053358
130867376,0.25122797
130490892,0.25137705
129962222,0.2517985
131752724,0.25225082
131681150,0.25271785
131461766,0.25278252
128752938,0.2528034
130712473,0.2531111
128740324,0.25381023
131134514,0.25427848
129675795,0.25427848
131180952,0.25427848
129044905,0.25448242
128311667,0.2549587
131437864,0.2557925
129721268,0.2558654
131582842,0.25681987
129787744,0.25726372
131222557,0.2573041
131302434,0.25842717
131036744,0.25846305
129460539,0.258598
128368164,0.2587464
129370127,0.25926885
131231102,0.25973257
131231145,0.25973257
131311100,0.25997508
131497871,0.26013145
131422757,0.26104167
130426821,0.2616515
130533974,0.2617543
129792580,0.26223597
131446206,0.26294044
129787739,0.26369798
131372943,0.2638148
130936253,0.26393577
131637526,0.26423052
130804237,0.26450288
128037847,0.26469174
130804238,0.2649269
128227859,0.26497117
128179861,0.2651739
129321352,0.26534247
131470877,0.26588795
131838978,0.26588795
128576357,0.26625502
129082502,0.26717317
128317971,0.26728755
129529286,0.26789865
128552475,0.26836604
129820938,0.26836604
131245034,0.26836604
131750640,0.26880968
130475959,0.2688919
129791711,0.26967922
131008685,0.27024034
131245665,0.2707847
130429990,0.27095127
129461973,0.27102253
130238957,0.2716705
128088672,0.2716705
130237786,0.2716705
130238097,0.2716705
128495946,0.2718569
129367828,0.2720224
131575099,0.27234212
131575100,0.27234212
131575101,0.27234212
129089108,0.27234915
129721252,0.2727523
128728506,0.2730421
130910064,0.27326322
130910072,0.27326322
131051672,0.2733081
130933680,0.273523
128010614,0.273523
130576899,0.27409247
130289377,0.2743333
131437675,0.27447715
130281635,0.27454367
128211987,0.27456984
130684893,0.27481797
127926633,0.274953
128369817,0.27533236
131145333,0.2758741
131146007,0.2758741
131797007,0.27604774
130868283,0.27679518
129033025,0.27723864
128723071,0.27725405
128930290,0.27829066
130439392,0.2795672
128333528,0.28003663
130006335,0.28007025
129289627,0.2801398
128006431,0.28047594
