PanjivaRecordID,hscode_6,LEB_flag,CITES_flag,WWF_HighRisk_flag,IUCN_RedList_flag,Lacey_Act_flag
8245631,940360,0,0,0,0,1
8013503,940340,0,0,0,0,1
7929279,440929,0,0,0,0,1
7944511,442190,0,0,0,0,1
7947135,441900,0,0,0,0,1
7952383,441520,0,0,0,0,0
7970815,440929,0,0,0,0,1
7980415,940360,0,0,0,0,1
7996159,440929,0,0,0,0,1
8029311,442090,0,0,0,0,1
8029503,940350,0,0,0,0,1
8022207,441520,0,0,0,0,0
7929273,440929,0,0,0,0,1
7952377,441520,0,0,0,0,0
7947129,442090,0,0,0,0,1
8003961,440922,0,0,0,0,1
7998905,442010,0,0,0,0,1
7999097,442090,0,0,0,0,1
8013497,940330,0,0,0,0,1
8022201,441300,0,0,0,0,0
8029497,940350,0,0,0,0,1
8056761,440929,0,0,0,0,1
8004921,441400,0,0,0,0,1
8013500,940330,0,0,0,0,1
7929340,440929,0,0,0,0,1
7929276,440929,0,0,0,0,1
7947132,442090,0,0,0,0,1
7952380,441520,0,0,0,0,0
7996156,440929,0,0,0,0,1
8003964,440922,0,0,0,0,1
7998908,442090,0,0,0,0,1
8029500,940350,0,0,0,0,1
8022204,441400,0,0,0,0,1
8056764,440929,0,0,0,0,1
8095356,440799,0,0,0,0,1
7994931,440929,0,0,0,0,1
8003955,440922,0,0,0,0,1
8038643,442199,0,0,0,0,1
8029363,940190,0,0,0,0,1
8022259,442010,0,0,0,0,1
8029491,940340,0,0,0,0,1
8062067,440929,0,0,0,0,1
8013501,940340,0,0,0,0,1
7929277,440929,0,0,0,0,1
7952381,441520,0,0,0,0,0
7970813,441879,0,0,0,0,1
7980413,441400,0,0,0,0,1
7996157,440929,0,0,0,0,1
8029501,940350,0,0,0,0,1
8056765,440929,0,0,0,0,1
8095357,440799,0,0,0,0,1
7929269,440929,0,0,0,0,1
7952373,441520,0,0,0,0,0
7986549,441879,0,0,0,0,1
8003957,440922,0,0,0,0,1
7998901,441990,0,0,0,0,1
7999093,441990,0,0,0,0,1
8013493,940330,0,0,0,0,1
8038645,442199,0,0,0,0,1
8029493,940340,0,0,0,0,1
8062069,440922,0,0,0,0,1
8052341,940360,0,0,0,0,1
8269306,440799,0,0,0,0,1
7980410,441400,0,0,0,0,1
7929274,440929,0,0,0,0,1
7947130,442090,0,0,0,0,1
7944506,441300,0,0,0,0,0
7952378,441520,0,0,0,0,0
8003962,440922,0,0,0,0,1
7998906,442090,0,0,0,0,1
7999098,442090,0,0,0,0,1
8013498,940330,0,0,0,0,1
8029498,940350,0,0,0,0,1
8022202,441400,0,0,0,0,1
8056762,440929,0,0,0,0,1
